idshopi,id_variant,sku_variant,barcode_shopi,inventoryquantity_shopi,inventoryitemid,inventorylevelsid,id_products,title_shopi,tags_shopi,vendor_shopi,status_shopi,published_shopi,sku_shopi,sku,tags,sku.1,margen_db,costo_db,margen_comparacion_db,duplicate,pausa,precio,precio_comparacion
8875631182101,gid://shopify/ProductVariant/47450339148053,"PAMO_PH02,x3",,0,gid://shopify/InventoryItem/49425939562773,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49425939562773,8875631182101,Kit Dispensador Papel Higiénico X3 Unidades,"['Dispensadores', 'Institucional', 'Papel Higiénico']",Pamo,DRAFT,DRAFT,"PAMO_PH02,x3","PAMO_PH02,x3",MercadoLibre,"PAMO_PH02,x3",0.0,0,0.0,,,0.0,0.0
8829802447125,gid://shopify/ProductVariant/47926219768085,H-R4008,7707180671657,8,gid://shopify/InventoryItem/49903444951317,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903444951317,8829802447125,Dispensador De Toallas De Papel Acero Inoxidable,"['Accesorios Baño', 'Baños', 'DISPENSADORES', 'INSTITUCIONAL', 'PAPEL TOALLAS']",BOCCHERINI,ACTIVE,ACTIVE,H-R4008,H-R4008,MercadoLibre,H-R4008,0.0,0,0.0,,,0.0,0.0
8580194009365,gid://shopify/ProductVariant/46353760157973,473328,60157973,-8,gid://shopify/InventoryItem/48408383848725,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48408383848725,8580194009365,Kit Dispensador Jabón Líquido Toallas Papel y Dispensador papel,"['Baños', 'Kit', 'Kit Ducha']",Pamo,DRAFT,DRAFT,473328,473328,MercadoLibre,473328,0.0,0,0.0,,,0.0,0.0
8580213932309,gid://shopify/ProductVariant/46353846403349,473312,46403349,1,gid://shopify/InventoryItem/48408469963029,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48408469963029,8580213932309,Kit Dispensador Papel Higiénico y Jabón liquido,"['Dispensadores', 'Institucional', 'Jabón Liquido', 'Papel Higiénico']",Pamo,ACTIVE,ACTIVE,473312,473312,MercadoLibre,473312,0.0,0,0.0,,,0.0,0.0
8120269898005,gid://shopify/ProductVariant/47926219899157,YW157,YW157,0,gid://shopify/InventoryItem/49903445082389,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903445082389,8120269898005,Dispensador Metálico De 400 Ml Satinado,"['Accesorios Baño', 'Baños', 'DISPENSADORES', 'Institucional', 'JABON LIQUIDO']",BOCCHERINI,ACTIVE,ACTIVE,YW157,YW157,MercadoLibre,YW157,0.0,0,0.0,,,0.0,0.0
8120320753941,gid://shopify/ProductVariant/47926219407637,YW342,7707180676737,0,gid://shopify/InventoryItem/49903444590869,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903444590869,8120320753941,Dispensador De Jabón Fácil Instalación Sin Perforar Pared,"['Accesorios Baño', 'Baños', 'DISPENSADORES', 'Institucional', 'JABON LIQUIDO']",BOCCHERINI,ACTIVE,ACTIVE,YW342,YW342,MercadoLibre,YW342,0.0,0,0.0,,,0.0,0.0
7602854035622,gid://shopify/ProductVariant/43706171195558,SD-2018,SD-2018,0,gid://shopify/InventoryItem/45803279220902,gid://shopify/InventoryLevel/101436129446?inventory_item_id=45803279220902,7602854035622,Dispensador De Jabón Doble Para Baño 2 En 1 Blanco,"['Dispensadores', 'Institucional', 'Jabón Liquido']",PAMO-30,ACTIVE,ACTIVE,SD-2018,SD-2018,MercadoLibre,SD-2018,0.0,0,0.0,,,0.0,0.0
8545607549205,gid://shopify/ProductVariant/46227347177749,JY-0907,JY-0907,74,gid://shopify/InventoryItem/48281569100053,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281569100053,8545607549205,Dispensador De Jabón Porcelana Blanco,"['ACCESORIOS', 'Baño', 'Baños', 'JABONERA']",PAMO,DRAFT,DRAFT,JY-0907,JY-0907,MercadoLibre,JY-0907,0.0,0,0.0,,,0.0,0.0
7602885361830,gid://shopify/ProductVariant/45037982646549,PAMO_S74501M,PAMO_S74501M,135,gid://shopify/InventoryItem/47090704417045,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47090704417045,7602885361830,Dispensador Metálico Institucional De Jabón Liquido  800 ml,"['Accesorios Baño', 'Baños', 'Dispensadores']",Pamo,ACTIVE,ACTIVE,PAMO_S74501M,PAMO_S74501M,MercadoLibre,PAMO_S74501M,0.0,0,0.0,,,0.0,0.0
8120311939349,gid://shopify/ProductVariant/45152024101141,9050C,9050C,0,gid://shopify/InventoryItem/47204945133845,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47204945133845,8120311939349,Dispensador Cromado De Jabón Líquido De 380 ml De Lujo,"['Dispensadores', 'Institucional', 'Jabón Liquido']",Pamo,DRAFT,DRAFT,9050C,9050C,MercadoLibre,9050C,0.0,0,0.0,,,0.0,0.0
8120327733525,gid://shopify/ProductVariant/47926219440405,YW034,7707180676898,0,gid://shopify/InventoryItem/49903444623637,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903444623637,8120327733525,Dispensador De Jabón Liquido ABS,"['Dispensadores', 'Institucional', 'Jabón Liquido']",PAMO-2,ACTIVE,ACTIVE,YW034,YW034,MercadoLibre,YW034,0.0,0,0.0,,,0.0,0.0
8545599160597,gid://shopify/ProductVariant/46227314999573,HC9702,HC9702,31,gid://shopify/InventoryItem/48281537020181,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281537020181,8545599160597,Dispensador de Jabón Sistema Push 600 ml,"['Dispensadores', 'Institucional', 'Jabón Liquido']",PAMO,ACTIVE,ACTIVE,HC9702,HC9702,MercadoLibre,HC9702,0.0,0,0.0,,,0.0,0.0
